f,Zdut_dc_11_re,Zdut_dc_11_im,Zdut_dc_11_abs,Zdut_dc_11_dB,Zdut_dc_11_pha_rad,Zdut_dc_11_pha_deg,Zdut_dc_12_re,Zdut_dc_12_im,Zdut_dc_12_abs,Zdut_dc_12_dB,Zdut_dc_12_pha_rad,Zdut_dc_12_pha_deg,Zdut_dc_21_re,Zdut_dc_21_im,Zdut_dc_21_abs,Zdut_dc_21_dB,Zdut_dc_21_pha_rad,Zdut_dc_21_pha_deg,Zdut_dc_22_re,Zdut_dc_22_im,Zdut_dc_22_abs,Zdut_dc_22_dB,Zdut_dc_22_pha_rad,Zdut_dc_22_pha_deg,Znet_dc_11_re,Znet_dc_11_im,Znet_dc_11_abs,Znet_dc_11_dB,Znet_dc_11_pha_rad,Znet_dc_11_pha_deg,Znet_dc_12_re,Znet_dc_12_im,Znet_dc_12_abs,Znet_dc_12_dB,Znet_dc_12_pha_rad,Znet_dc_12_pha_deg,Znet_dc_21_re,Znet_dc_21_im,Znet_dc_21_abs,Znet_dc_21_dB,Znet_dc_21_pha_rad,Znet_dc_21_pha_deg,Znet_dc_22_re,Znet_dc_22_im,Znet_dc_22_abs,Znet_dc_22_dB,Znet_dc_22_pha_rad,Znet_dc_22_pha_deg
1.0,20.625985855984286,9.296398420526259,22.624197579680633,27.091463697525597,0.4234466371324078,24.261705156694617,-0.9898569940482339,-0.7348328387369879,1.2328001336601426,1.8178534559311263,-2.502997408718833,-143.41118765177066,-1.1431068874978092,-0.7397480845248308,1.3615875237395079,2.6809112661511643,-2.5672319049576595,-147.09155318540436,21.05018806207204,9.21095913826282,22.977210137337117,27.22594592175938,0.4124703244578888,23.632808765828724,-162.5442096955962,-134.6813263048179,211.0916383014514,46.48942061011696,-2.449664565691887,-140.3554408368929,-70.02560454625814,-58.791440394307855,91.43313817050348,39.22207251780003,-2.443184627876357,-139.98416774855585,-70.1792416307478,-58.544030758601124,91.39217413614207,39.21818017835252,-2.446338856754653,-140.16489175090047,-162.38872426279409,-134.9451380053195,211.14044624129338,46.491428701857664,-2.4482326138128516,-140.27339603775837
2.0,24.19835794791957,1.0930976159014234,24.22303428089742,27.68457087598543,0.04514170020925027,2.5864289020348656,-1.3199720794834733,-0.049183805963227245,1.320888086623902,2.4173204640147956,-3.104348636541144,-177.86607501099914,-1.4593778220333797,-0.0862753222455106,1.461925804776514,3.2985066399360807,-3.082543500843967,-176.61673276384082,24.332112868015027,1.0577424190095455,24.355092601893237,27.73179570333729,0.043443695004228414,2.489140370195867,-53.128523660510304,-114.27602694979714,126.0224200758586,42.0089563069628,-2.0059832785764242,-114.9343756362448,-12.897751686406833,-48.39965348403547,50.08870587207176,33.99479622178047,-1.83122852685763,-104.92166591290132,-13.305979680304976,-48.21898485620553,50.021191467373775,33.98308064174939,-1.8400445824781888,-105.42678869191192,-52.476497595626434,-114.65315054481255,126.09174330524279,42.01373298374197,-2.000033295860862,-114.5934667384673
3.0,23.373747787752958,-3.8117235686596374,23.682510893259646,27.488554914799668,-0.16165412959415604,-9.262099366606,-1.0088038312998862,0.30297656947045093,1.053318551860458,0.4511946676492471,2.8498308477038448,163.28327989961997,-1.1564202722817893,0.2309999254445192,1.1792662174842716,1.4322371491158634,2.944433352030766,168.70360412892066,23.264153729224144,-3.724074272490753,23.560339087627778,27.44363073318913,-0.1587311077599853,-9.094622552083429,-10.741671391008236,-75.57839083145633,76.33791105960896,37.654805431439634,-1.7119770088531907,-98.0890572307186,8.615383248415096,-27.5553583629794,28.87079152065787,29.20917381293954,-1.2677681825715452,-72.63776626232035,8.468506800412197,-27.604706983263128,28.874477572078142,29.210282705023104,-1.2731331731991684,-72.9451575824104,-10.200814584604977,-75.66010376277265,76.34466529878178,37.65557390912035,-1.704812418399337,-97.67855643577306
4.0,21.256490397349573,-6.904430571798141,22.34971018902472,26.985437919271057,-0.3140647188562248,-17.994582884424442,-0.6234463231366174,0.4904333771859122,0.7932277196937502,-2.012042351773232,2.4750457969980713,141.8096782695826,-0.7794745239539957,0.5236059326103097,0.9390120905281361,-0.546576316214561,2.550084444809753,146.10907608956055,21.379655770884792,-6.932392002497629,22.475491980328716,27.03418414114509,-0.31355503474012214,-17.965380135686907,8.594639192535979,-43.605006008011934,44.44394640227882,32.95625230359346,-1.3761887350437256,-78.84980633145297,18.127002816272203,-9.681049574002015,20.55020564265538,26.256323442999545,-0.49052901393700954,-28.105242227304583,18.523764815989253,-9.790825682661872,20.952091315817444,26.42454756427059,-0.4862296726359486,-27.858908116067507,8.550077107414396,-43.59122138716819,44.421823471890946,32.95192763874081,-1.3771129480994684,-78.90275983891792
5.0,19.27453500337481,-8.576030312028845,21.09635028883334,26.484146559488746,-0.4186388780871922,-23.986240854487914,-0.5845029929732186,0.4262757571785958,0.7234326298646168,-2.8120381323738473,2.5114742408837283,143.8968743584599,-0.6247017821649468,0.44587906088504425,0.767502738480971,-2.298401325352906,2.521699934453978,144.48276344262928,19.393825996758952,-8.433942074089618,21.1483300925076,26.505521608934004,-0.41020729518472426,-23.50314673956184,18.539310513032074,-17.96145984238424,25.813176363404086,28.23682897287793,-0.7695682946751936,-44.09301533196866,23.427778186117074,5.84004243909882,24.144707213556728,27.656438867489655,0.2442995306828158,13.997332045152103,23.606351651411074,5.543803916803201,24.24857934308814,27.693725991523735,0.2306638733781329,13.216066430707043,18.502773666826773,-17.820392240100887,25.688888900784832,28.194906410205572,-0.7666139756938293,-43.92374532300109
6.0,17.437663389427815,-9.506341319200821,19.86057979415848,25.959838455924597,-0.4991207811757071,-28.597514228640723,-0.6049822601865702,0.39355797676702053,0.7217280763676868,-2.832527992579003,2.564846255596952,146.95486554563774,-0.6021264998292075,0.5946325539770729,0.8462530331088151,-1.449995234435879,2.362456275204368,135.3587738534072,17.621853449008874,-9.610780268538889,20.072289763464514,26.051938356491146,-0.4992968708356223,-28.60760342296976,24.426707819903157,3.784116341282708,24.718082276003553,27.86029546971359,0.15369540814691982,8.806098217359114,26.946616917367535,18.894937358723777,32.91107444434857,30.346841217831976,0.6115301226757246,35.0380950744365,26.79096637878874,19.07160473040703,32.885893427156155,30.340192900924336,0.6186460687014768,35.44580874895499,24.807553480652537,3.5087003362367284,25.054454449158207,27.977699011815616,0.14050481721832772,8.050333027867238
7.0,15.63909252185235,-10.162323062259686,18.650845153204003,25.413970328316648,-0.5762364418954163,-33.01591612224285,-0.5443644060190751,0.4633570778412981,0.7148652936925439,-2.9155157434921892,2.436408629576974,139.59593164401335,-0.5037763871666829,0.59080845347777,0.7764311154040068,-2.1979413724873123,2.2768499315217228,130.45389166084522,15.668476552290713,-10.23708173946774,18.716276339331703,25.444388975498935,-0.5787303195102498,-33.158804784194956,28.85328186613519,22.344798108656548,36.493860811967636,31.244396226260672,0.6589527982848107,37.755214240055125,29.478720547534866,30.98355981345727,42.76652831168013,32.62207993322797,0.8102819197596836,46.425734217987895,29.468780574544024,31.117141622915696,42.85656929026419,32.64034804809605,0.8125984510573018,46.55846168445138,29.329788977843812,22.29465843993376,36.84139406208943,31.32672110694468,0.6499572981880273,37.23981004989991
8.0,13.880457840377787,-10.392660918170936,17.339968593356296,24.780966130688018,-0.6426853073584166,-36.82315566670538,-0.47449305815721665,0.5130852856671835,0.6988563318791374,-3.112241912412851,2.317136726832933,132.762155002285,-0.5611838688796356,0.5345680223369307,0.7750421312392851,-2.2134937726504007,2.3804797450105624,136.3914426054836,13.754563930929384,-10.397300431527068,17.24215430836462,24.73183054970827,-0.6472768632718596,-37.086232441944006,32.170365072432446,38.94593488781,50.51453487046196,34.068327168628294,0.8803859456785734,50.44239903001601,31.384940978940616,41.96827433030738,52.40563491186347,34.38755973950488,0.9286884238806047,53.20992717101506,31.52043810954879,42.162981507070114,52.642711064148585,34.426764941100366,0.9288422213272415,53.21873911560724,32.472922173908806,39.02810740033879,50.770895617126136,34.11229649170646,0.8768221829760922,50.2382104679777
9.0,12.208421028014095,-10.5119040253601,16.110421168785088,24.142137883354444,-0.7108669010945267,-40.7296732282601,-0.39747701367610233,0.476224149416586,0.6203042937852544,-4.147904252219342,2.266306851240123,129.84981765764195,-0.5162477323908519,0.561538133549849,0.7627822734105354,-2.3519881648919467,2.314197491986459,132.59374925058427,12.122012448456555,-10.432928253008175,15.993410447210811,24.078821658256405,-0.7106501400151664,-40.717253733250054,34.98758093104467,54.36649838117425,64.65173598316308,36.21160381488861,0.9989684769390983,57.23667759522224,33.406733108856436,52.24212905236683,62.01007873669017,35.849245655769316,1.0018665715590191,57.40272618557327,33.332036566563,52.31594520191282,62.03211091075523,35.85233120327492,1.0035221216796832,57.4975822202597,35.20967956218816,54.24500808180018,64.6702592902374,36.21409204439264,0.9950638502555491,57.01295896568071
10.0,10.50161918854758,-10.384901441618018,14.769230972985381,23.387157647763793,-0.7798100362951758,-44.679823901657116,-0.3908160359869335,0.4519428088930306,0.5974859634289851,-4.473445860381162,2.28378953432,130.85150161268368,-0.4530898194776807,0.5628663687466151,0.7225710578069937,-2.8223887570052235,2.2485596406130495,128.8329773905809,10.66220066471756,-10.377355276245241,14.878576059022535,23.451227388578513,-0.7718604258224728,-44.22434477279824,37.5571299752783,68.59407280285626,78.20284416607552,37.864450964821074,1.0698534959541621,61.29809001548998,35.003043957546076,61.878339855286555,71.09248926251104,37.03647442130571,1.0559980972623975,60.504234146980785,35.263902008904196,62.0248956155655,71.34865423408765,37.06771571881805,1.0538271968653867,60.3798507164888,37.57785812019447,68.54885480839457,78.1731470291674,37.86115191546088,1.0693431244286316,61.26884788109343
